Auto_Name;Year;Auto_URL;Price;Fuel;HorsePower;Mileage
Лада 2107;2008;https://pushkino.drom.ru/lada/2107/50899875.html;45000;бензин;76;55858
Москвич 403;1963;https://moscow.drom.ru/moskvitch/403/50130207.html;47000;бензин;45;25380
Лада 2105;2003;https://moscow.drom.ru/lada/2105/50918627.html;47000;бензин;71;50000
Лада 2115 Самара;2003;https://chehov.drom.ru/lada/2115/50146925.html;49000;бензин;76;200000
Лада 21099;2002;https://korolev.drom.ru/lada/21099/50913242.html;50000;бензин;78;145000
Лада 2107;1999;https://moscow.drom.ru/lada/2107/50902003.html;55000;бензин;76;186000
Лада 2110;1999;https://moscow.drom.ru/lada/2110/50526069.html;55000;бензин;78;178000
Лада 21099;2003;https://moscow.drom.ru/lada/21099/50923841.html;55000;бензин;78;264131
Лада 2107;2007;https://lyubertsy.drom.ru/lada/2107/50919567.html;55000;бензин;74;130000
Лада 2107;2004;https://istra.drom.ru/lada/2107/49762116.html;60000;бензин;71;50000
Лада 2105;2005;https://moscow.drom.ru/lada/2105/50917161.html;60000;бензин;71;200000
Лада 2115 Самара;2001;https://vidnoe.drom.ru/lada/2115/50907909.html;65000;бензин;76;224000
Лада 2105;2006;https://moscow.drom.ru/lada/2105/50912576.html;67000;бензин;71;90314
Лада 2101;1975;https://mytishchi.drom.ru/lada/2101/48201875.html;70000;бензин;64;75000
Лада 2105;1996;https://moscow.drom.ru/lada/2105/50923180.html;70000;бензин;71;15888
Лада 2106;1997;https://moscow.drom.ru/lada/2106/50910578.html;70000;бензин;75;70000
Лада 21099;2002;https://orehovo-zuevo.drom.ru/lada/21099/50899839.html;70000;бензин;78;233956
Лада 2107;2004;https://moscow.drom.ru/lada/2107/50530815.html;70000;бензин;74;250000
Chevrolet Lanos;2006;https://moscow.drom.ru/chevrolet/lanos/50540315.html;70000;бензин;86;75600
Лада 2107;2001;https://moscow.drom.ru/lada/2107/50912653.html;72000;бензин;74;150000
Лада 21099;2001;https://moscow.drom.ru/lada/21099/50912841.html;77000;бензин;78;117243
Volkswagen Passat;1988;https://vidnoe.drom.ru/volkswagen/passat/50916899.html;80000;бензин;90;999999
ГАЗ 24 Волга;1988;https://shchelkovo.drom.ru/gaz/24_volga/50910155.html;80000;бензин;100;83748
Ford Mondeo;1995;https://zagoryanskiy.drom.ru/ford/mondeo/49449733.html;80000;бензин;136;200000
Лада 2106;1995;https://moscow.drom.ru/lada/2106/49207240.html;80000;бензин;75;80000
Лада 2110;1999;https://moscow.drom.ru/lada/2110/50539410.html;80000;бензин;78;170000
Лада 2110;2005;https://lytkarino.drom.ru/lada/2110/50905832.html;80000;бензин;80;300000
Лада 2115 Самара;2006;https://dolgoprudniy.drom.ru/lada/2115/50916192.html;81000;бензин;76;230000
Audi 100;1984;https://moscow.drom.ru/audi/100/50901522.html;84999;бензин;75;400000
Лада 2107;2004;https://moscow.drom.ru/lada/2107/50919039.html;85000;бензин;74;77000
Лада 2115 Самара;2005;https://pokrov.drom.ru/lada/2115/50897193.html;87000;бензин;70;150000
Ford Orion;1986;https://shchelkovo.drom.ru/ford/orion/50910031.html;90000;дизель;54;98000
Daewoo Nexia;1998;https://moscow.drom.ru/daewoo/nexia/50911826.html;90000;бензин;75;256000
Лада 21099;2002;https://moscow.drom.ru/lada/21099/50916597.html;90000;бензин;70;466394
Лада 2105;2005;https://serpuhov.drom.ru/lada/2105/50922190.html;90000;бензин;71;80000
Лада 2105;1999;https://sergiev-posad.drom.ru/lada/2105/50912901.html;92000;бензин;71;99000
Лада 2106;1992;https://moscow.drom.ru/lada/2106/50525039.html;95000;бензин;75;228000
Лада 2106;2001;https://moscow.drom.ru/lada/2106/50908867.html;95000;бензин;75;106000
Daewoo Nexia;2004;https://elektrostal.drom.ru/daewoo/nexia/49186791.html;95000;бензин;85;264000
Лада 2101;1987;https://moscow.drom.ru/lada/2101/50921939.html;100000;бензин;59;138000
Лада 2106;1997;https://moscow.drom.ru/lada/2106/50921100.html;100000;бензин;75;82000
Лада 2107;1998;https://domodedovo.drom.ru/lada/2107/50910051.html;100000;бензин;76;124053
Лада 2107;2007;https://moscow.drom.ru/lada/2107/50917528.html;100000;бензин;74;333333
Лада 2115 Самара;2007;https://podolsk.drom.ru/lada/2115/50900497.html;100000;бензин;81;200000
ЗАЗ Шанс;2010;https://moscow.drom.ru/zaz/chance/50045002.html;100000;бензин;86;168000
ЗАЗ Шанс;2010;https://podolsk.drom.ru/zaz/chance/50521229.html;110000;бензин;86;217000
Лада 2110;2001;https://moscow.drom.ru/lada/2110/50913044.html;115000;бензин;78;353833
Лада 2115 Самара;2011;https://moscow.drom.ru/lada/2115/50859166.html;120000;бензин;81;250000
Лада 2101;1978;https://korolev.drom.ru/lada/2101/50918624.html;125000;бензин;59;40000
Лада 2110;2005;https://lyubertsy.drom.ru/lada/2110/50913133.html;125000;бензин;71;166000
Лада Калина;2008;https://moscow.drom.ru/lada/kalina/50894637.html;130000;бензин;81;300000
Chevrolet Lanos;2006;https://moscow.drom.ru/chevrolet/lanos/50902168.html;139000;бензин;86;145000
Лада 2115 Самара;2005;https://moscow.drom.ru/lada/2115/50542727.html;140000;бензин;76;180000
Лада 2107;2010;https://klin.drom.ru/lada/2107/50134176.html;140000;бензин;74;95000
Volkswagen Passat;1991;https://odintsovo.drom.ru/volkswagen/passat/50900911.html;145000;бензин;90;360300
Лада 2115 Самара;2006;https://moscow.drom.ru/lada/2115/50920751.html;145000;бензин;76;125000
Лада 2107;2007;https://moscow.drom.ru/lada/2107/50902371.html;145000;бензин;74;17358
Volvo S40;2000;https://moscow.drom.ru/volvo/s40/50912967.html;150000;бензин;122;290000
Ford Focus;2001;https://lytkarino.drom.ru/ford/focus/50912246.html;150000;бензин;130;191563
Hyundai Accent;2008;https://elektrougli.drom.ru/hyundai/accent/50901814.html;155000;бензин;102;340000
Лада Приора;2009;https://malahovka.drom.ru/lada/priora/50911132.html;155000;бензин;81;200000
Лада 21099;1997;https://chehov.drom.ru/lada/21099/50898733.html;159900;бензин;70;146185
Nissan Cefiro;1996;https://chernogolovka.drom.ru/nissan/cefiro/50915486.html;160000;бензин;190;200000
Лада 2107;2012;https://vidnoe.drom.ru/lada/2107/50912305.html;160000;бензин;74;117000
ГАЗ 31105 Волга;2006;https://moscow.drom.ru/gaz/31105_volga/50902211.html;165000;бензин;137;203340
Лада 2107;2010;https://moscow.drom.ru/lada/2107/50135023.html;165000;бензин;74;150000
Лада 2115 Самара;2010;https://moscow.drom.ru/lada/2115/49791793.html;168000;бензин;81;191734
BMW 5-Series;1993;https://moscow.drom.ru/bmw/5-series/50923344.html;170000;бензин;150;250000
Nissan Maxima;1996;https://moscow.drom.ru/nissan/maxima/50541919.html;170000;бензин;193;190000
Peugeot 406;2000;https://moscow.drom.ru/peugeot/406/50910499.html;170000;бензин;135;342133
Mazda 323;2001;https://moscow.drom.ru/mazda/323/50902075.html;170000;бензин;95;160208
Лада Приора;2007;https://moscow.drom.ru/lada/priora/50134537.html;170000;бензин;98;140000
Opel Astra;2000;https://moscow.drom.ru/opel/astra/50901298.html;175000;бензин;116;277587
Dodge Neon;2001;https://kurovskoe.drom.ru/dodge/neon/50923437.html;175000;бензин;133;256522
Mitsubishi Lancer;2003;https://noginsk.drom.ru/mitsubishi/lancer/50910613.html;175000;бензин;82;314000
Mercedes-Benz C-Class;1995;https://korolev.drom.ru/mercedes-benz/c-class/50536388.html;180000;бензин;136;200000
Honda Civic;1998;https://moscow.drom.ru/honda/civic/49343664.html;185000;бензин;114;373000
Лада 2107;2010;https://moscow.drom.ru/lada/2107/48872653.html;185000;бензин;74;92400
Nissan Almera;2002;https://moscow.drom.ru/nissan/almera/50130350.html;189000;бензин;114;450000
Mercedes-Benz 190;1991;https://moscow.drom.ru/mercedes-benz/190/50542876.html;190000;бензин;109;313789
Ford Escort;1998;https://orehovo-zuevo.drom.ru/ford/escort/50884495.html;190000;бензин;90;200000
Volkswagen Passat;1998;https://dolgoprudniy.drom.ru/volkswagen/passat/50908525.html;190000;бензин;150;244000
Лада Приора;2008;https://moscow.drom.ru/lada/priora/50899030.html;190000;бензин;98;218000
Лада Калина;2006;https://moscow.drom.ru/lada/kalina/50542265.html;195000;бензин;81;166009
Audi A6;1995;https://nahabino.drom.ru/audi/a6/50845220.html;200000;бензин;125;300000
ГАЗ 3110 Волга;1999;https://moscow.drom.ru/gaz/3110_volga/50899089.html;200000;бензин;100;45101
Mitsubishi Galant;2006;https://chehov.drom.ru/mitsubishi/galant/50922704.html;200000;бензин;160;190000
Лада Приора;2007;https://moscow.drom.ru/lada/priora/50530355.html;200000;бензин;98;236775
Лада Приора;2007;https://odintsovo.drom.ru/lada/priora/48690762.html;200000;бензин;98;249000
Ford Focus;2001;https://moscow.drom.ru/ford/focus/50902132.html;205000;бензин;110;312000
Hyundai Accent;2006;https://pushkino.drom.ru/hyundai/accent/50905512.html;210000;бензин;102;495456
Лада Калина;2006;https://moscow.drom.ru/lada/kalina/50914078.html;210000;бензин;81;190785
Peugeot 206;2008;https://moscow.drom.ru/peugeot/206/50884887.html;210000;бензин;75;170000
Chery Oriental Son B11;2005;https://krasnogorsk.drom.ru/chery/b11/50922777.html;220000;бензин;125;250000
Renault Logan;2006;https://moscow.drom.ru/renault/logan/50126130.html;220000;бензин;90;184412
Mitsubishi Galant;2002;https://moscow.drom.ru/mitsubishi/galant/50146631.html;229000;бензин;144;152051
Toyota Corolla;1998;https://moscow.drom.ru/toyota/corolla/50901831.html;230000;дизель;73;400000
Volvo S80;1999;https://moscow.drom.ru/volvo/s80/50530038.html;230000;бензин;272;297000
Nissan Cefiro;2001;https://moscow.drom.ru/nissan/cefiro/50536573.html;230000;бензин;160;200000
Dodge Stratus;2004;https://moscow.drom.ru/dodge/stratus/50901097.html;230000;бензин;150;255400
Hyundai Accent;2005;https://moscow.drom.ru/hyundai/accent/50901566.html;230000;бензин;102;227000
Лада 2107;2010;https://podolsk.drom.ru/lada/2107/50370191.html;230000;бензин;72;65000
Лада Калина;2010;https://moscow.drom.ru/lada/kalina/50913516.html;230000;бензин;81;151568
Volkswagen Passat;1999;https://moscow.drom.ru/volkswagen/passat/50919189.html;240000;бензин;100;221000
Mitsubishi Galant;2002;https://istra.drom.ru/mitsubishi/galant/50897541.html;240000;бензин;144;270000
Hyundai Accent;2005;https://odintsovo.drom.ru/hyundai/accent/50909565.html;240000;бензин;102;226000
Chevrolet Lanos;2006;https://moscow.drom.ru/chevrolet/lanos/50906710.html;240000;бензин;86;175000
Hyundai Accent;2004;https://moscow.drom.ru/hyundai/accent/50922046.html;245000;бензин;102;202000
Toyota Vista;1995;https://moscow.drom.ru/toyota/vista/50536222.html;249000;бензин;125;240000
Nissan Cefiro;1998;https://moscow.drom.ru/nissan/cefiro/50902525.html;249000;бензин;160;290000
BMW 3-Series;1997;https://moscow.drom.ru/bmw/3-series/48531211.html;250000;дизель;90;275600
Hyundai Sonata;2001;https://pushkino.drom.ru/hyundai/sonata/47546392.html;250000;бензин;172;300000
Lincoln Town Car;2001;https://moscow.drom.ru/lincoln/town_car/45126027.html;255000;бензин;223;156000
Chevrolet Lanos;2008;https://moscow.drom.ru/chevrolet/lanos/50496945.html;255000;бензин;86;149000
Ford Taurus;2001;https://moscow.drom.ru/ford/taurus/50907691.html;260000;бензин;155;187501
Лада 2107;2010;https://moscow.drom.ru/lada/2107/50145446.html;260000;бензин;74;29000
Kia Rio;2005;https://vidnoe.drom.ru/kia/rio/50917749.html;265000;бензин;97;194500
Peugeot 407;2006;https://moscow.drom.ru/peugeot/407/50529921.html;265000;бензин;125;430829
Kia Spectra;2008;https://dmitrov.drom.ru/kia/spectra/50901918.html;265000;бензин;101;241000
Kia Spectra;2008;https://moscow.drom.ru/kia/spectra/49795072.html;269999;бензин;101;165000
Volvo 850;1996;https://mytishchi.drom.ru/volvo/850/50527879.html;270000;бензин;211;250000
Mitsubishi Lancer;2004;https://mytishchi.drom.ru/mitsubishi/lancer/50902280.html;270000;бензин;98;164000
Лада Приора;2007;https://ashukino.drom.ru/lada/priora/50146170.html;270000;бензин;98;1800
Hyundai Accent;2005;https://chehov.drom.ru/hyundai/accent/50898769.html;275000;бензин;102;222055
Лада Приора;2009;https://moscow.drom.ru/lada/priora/50524366.html;279000;бензин;98;206897
BMW 3-Series;1997;https://moscow.drom.ru/bmw/3-series/50913061.html;280000;бензин;140;394000
Toyota WiLL Vi;2000;https://moscow.drom.ru/toyota/will_vi/49653337.html;285000;бензин;88;200000
Renault Logan;2011;https://moscow.drom.ru/renault/logan/50921194.html;285000;бензин;102;270348
Лада Гранта;2013;https://moscow.drom.ru/lada/granta/50146502.html;286000;бензин;82;147471
Ford Focus;2004;https://moscow.drom.ru/ford/focus/50901912.html;289000;бензин;115;170000
Volkswagen Passat;2002;https://moscow.drom.ru/volkswagen/passat/50918354.html;290000;бензин;150;333600
Mercedes-Benz C-Class;1998;https://moscow.drom.ru/mercedes-benz/c-class/50901567.html;295000;бензин;122;490000
Mitsubishi Lancer;2007;https://moscow.drom.ru/mitsubishi/lancer/50118311.html;299000;бензин;98;330000
Лада 2101;1970;https://moscow.drom.ru/lada/2101/47471405.html;300000;бензин;64;158000
BMW 3-Series;1996;https://vidnoe.drom.ru/bmw/3-series/49804497.html;300000;бензин;150;354000
BMW 5-Series;1997;https://moscow.drom.ru/bmw/5-series/50919063.html;300000;бензин;150;666666
Ford Focus;2005;https://serpuhov.drom.ru/ford/focus/50909906.html;300000;бензин;145;260000
Kia Spectra;2008;https://moscow.drom.ru/kia/spectra/50129693.html;300000;бензин;101;98000
Лада Приора;2011;https://domodedovo.drom.ru/lada/priora/50902251.html;300000;бензин;98;174000
Лада Гранта;2015;https://moscow.drom.ru/lada/granta/50923905.html;303000;бензин;82;94500
Kia Spectra;2008;https://bronnitsy.drom.ru/kia/spectra/50913068.html;310000;бензин;101;143000
Nissan Laurel;1999;https://moscow.drom.ru/nissan/laurel/50538003.html;315000;бензин;155;326306
Peugeot 206;2009;https://orehovo-zuevo.drom.ru/peugeot/206/50884442.html;315000;бензин;75;163600
Mitsubishi Lancer;2003;https://moscow.drom.ru/mitsubishi/lancer/50524691.html;319000;бензин;98;168789
Mercedes-Benz S-Class;2000;https://moscow.drom.ru/mercedes-benz/s-class/50543130.html;320000;бензин;306;300000
Dodge Stratus;2003;https://korolev.drom.ru/dodge/stratus/50920917.html;320000;бензин;150;124000
Peugeot 407;2004;https://moscow.drom.ru/peugeot/407/50901603.html;320000;бензин;125;327000
Renault Logan;2013;https://solnechnogorsk.drom.ru/renault/logan/50535568.html;320000;бензин;103;315000
Chevrolet Aveo;2007;https://mytishchi.drom.ru/chevrolet/aveo/50904233.html;325000;бензин;83;158000
Лада Приора;2012;https://moscow.drom.ru/lada/priora/50916359.html;325000;бензин;98;230000
BMW 3-Series;2000;https://moscow.drom.ru/bmw/3-series/44484768.html;330000;бензин;118;282350
Nissan Almera;2004;https://shchelkovo.drom.ru/nissan/almera/50530149.html;330000;бензин;116;250000
Chevrolet Lanos;2008;https://pushkino.drom.ru/chevrolet/lanos/50911869.html;330000;бензин;86;102365
Лада Гранта;2012;https://moscow.drom.ru/lada/granta/50916536.html;330000;бензин;98;112438
Toyota Carina;1996;https://podolsk.drom.ru/toyota/carina/50144610.html;335000;бензин;100;428959
Ford Focus;2007;https://moscow.drom.ru/ford/focus/50541736.html;335000;бензин;100;259000
Mitsubishi Lancer;2007;https://moscow.drom.ru/mitsubishi/lancer/50911763.html;339000;бензин;98;248232
Toyota Avensis;2000;https://orehovo-zuevo.drom.ru/toyota/avensis/50884532.html;340000;бензин;110;300000
Audi A4;2001;https://domodedovo.drom.ru/audi/a4/50902036.html;340000;бензин;130;347014
Volvo S40;2002;https://moscow.drom.ru/volvo/s40/50898913.html;340000;бензин;136;202000
Peugeot 206;2009;https://moscow.drom.ru/peugeot/206/50908377.html;342000;бензин;75;149047
Kia Opirus;2006;https://reutov.drom.ru/kia/opirus/50912845.html;350000;бензин;203;156000
Mitsubishi Lancer;2007;https://vidnoe.drom.ru/mitsubishi/lancer/49804102.html;350000;бензин;109;200000
Peugeot 206;2008;https://moscow.drom.ru/peugeot/206/50542076.html;351000;бензин;75;148000
Volkswagen Passat;2003;https://elektrostal.drom.ru/volkswagen/passat/50902449.html;360000;бензин;150;339749
BMW 3-Series;1987;https://moscow.drom.ru/bmw/3-series/48992978.html;370000;бензин;170;10000
Nissan Tiida;2011;https://moscow.drom.ru/nissan/tiida/50135645.html;373000;бензин;110;201005
Hyundai Accent;2007;https://moscow.drom.ru/hyundai/accent/50909903.html;377000;бензин;102;113464
Subaru Legacy B4;1999;https://naro-fominsk.drom.ru/subaru/legacy_b4/50899811.html;380000;бензин;260;225000
Renault Megane;2008;https://moscow.drom.ru/renault/megane/50899091.html;380000;бензин;113;270000
Mitsubishi Lancer;2004;https://naro-fominsk.drom.ru/mitsubishi/lancer/50530677.html;385000;бензин;98;270000
Chevrolet Lacetti;2007;https://moscow.drom.ru/chevrolet/lacetti/50520736.html;385000;бензин;109;190000
Ford Focus;2007;https://moscow.drom.ru/ford/focus/50915800.html;385000;бензин;100;168000
Ford Focus;2006;https://moscow.drom.ru/ford/focus/50923773.html;398000;бензин;125;188100
Mazda Mazda6;2006;https://zvenigorod.drom.ru/mazda/mazda6/50894070.html;400000;бензин;147;140000
Audi A6;1996;https://moscow.drom.ru/audi/a6/50921498.html;410000;дизель;140;275000
Nissan Tiida Latio;2006;https://moscow.drom.ru/nissan/tiida_latio/50682404.html;410000;бензин;109;280000
Лада Гранта;2016;https://moscow.drom.ru/lada/granta/50140585.html;410000;бензин;87;89000
Лада Приора;2016;https://moscow.drom.ru/lada/priora/50525859.html;412000;бензин;87;110500
Renault Logan;2016;https://moscow.drom.ru/renault/logan/47197781.html;415000;бензин;82;200000
BMW 5-Series;1999;https://moscow.drom.ru/bmw/5-series/50902109.html;425000;бензин;150;364000
Hyundai Sonata;2007;https://moscow.drom.ru/hyundai/sonata/50123765.html;429000;бензин;137;175200
Ford Escort;1993;https://moscow.drom.ru/ford/escort/50911805.html;430000;бензин;89;240000
Volkswagen Passat;2004;https://serpuhov.drom.ru/volkswagen/passat/50920936.html;430000;бензин;150;468288
Ford Focus;2006;https://moscow.drom.ru/ford/focus/50899702.html;430000;бензин;125;195000
Mitsubishi Lancer;2006;https://reutov.drom.ru/mitsubishi/lancer/50904306.html;430000;бензин;98;209810
Ford Focus;2008;https://orehovo-zuevo.drom.ru/ford/focus/50502285.html;430000;бензин;145;174000
Chevrolet Cruze;2012;https://moscow.drom.ru/chevrolet/cruze/50902014.html;430000;бензин;109;287000
Chevrolet Aveo;2010;https://moscow.drom.ru/chevrolet/aveo/50913181.html;434900;бензин;101;143000
Лада Гранта;2014;https://moscow.drom.ru/lada/granta/50515946.html;438000;бензин;82;134497
BMW 5-Series;1993;https://moscow.drom.ru/bmw/5-series/50922355.html;450000;бензин;192;350000
Toyota Corolla;2003;https://moscow.drom.ru/toyota/corolla/50907631.html;460000;бензин;109;205000
Opel Astra;2011;https://moscow.drom.ru/opel/astra/50142806.html;460000;бензин;140;184796
Toyota Mark II;1993;https://moscow.drom.ru/toyota/mark_ii/50542921.html;465000;бензин;180;120000
Mazda Mazda3;2006;https://moscow.drom.ru/mazda/mazda3/50500797.html;469000;бензин;105;171000
Volvo S40;2007;https://solnechnogorsk.drom.ru/volvo/s40/50909155.html;470000;бензин;100;355000
Peugeot 408;2012;https://domodedovo.drom.ru/peugeot/408/50528857.html;470000;бензин;120;248000
Nissan Tiida Latio;2010;https://moscow.drom.ru/nissan/tiida_latio/50542297.html;480000;бензин;109;254000
Audi A6;2003;https://moscow.drom.ru/audi/a6/50919264.html;485000;бензин;220;201387
Volkswagen Polo;2016;https://moscow.drom.ru/volkswagen/polo/50468318.html;490000;бензин;90;155000
Toyota Corolla;2008;https://moscow.drom.ru/toyota/corolla/50912948.html;495000;бензин;124;223546
Mercedes-Benz E-Class;2000;https://moscow.drom.ru/mercedes-benz/e-class/50479952.html;500000;бензин;170;207960
Cadillac STS;2005;https://zheleznodorozhniy.drom.ru/cadillac/sts/50898648.html;500000;бензин;255;209800
Volkswagen Passat;2007;https://moscow.drom.ru/volkswagen/passat/50914070.html;500000;бензин;150;454947
Opel Vectra;2008;https://moscow.drom.ru/opel/vectra/50922135.html;500000;бензин;155;244000
Kia Rio;2012;https://moscow.drom.ru/kia/rio/50900724.html;500000;бензин;107;266000
Лада Гранта;2017;https://moscow.drom.ru/lada/granta/50364492.html;500000;бензин;87;107000
Mitsubishi Lancer;2008;https://moscow.drom.ru/mitsubishi/lancer/50542068.html;501000;бензин;109;228000
Audi A6;2002;https://moscow.drom.ru/audi/a6/50919112.html;505000;бензин;170;200447
Nissan Tiida;2011;https://moscow.drom.ru/nissan/tiida/50529291.html;519000;бензин;110;310000
Продается Toyota Chaser;2001;https://moscow.drom.ru/toyota/chaser/50897972.html;520000;бензин;160;484014
Nissan Laurel;2002;https://moscow.drom.ru/nissan/laurel/50902243.html;520000;бензин;200;140000
Mitsubishi Lancer;2006;https://moscow.drom.ru/mitsubishi/lancer/50914069.html;520000;бензин;98;248627
Audi A4;2007;https://moscow.drom.ru/audi/a4/49270906.html;520000;бензин;200;207000
Лада Приора;2015;https://moscow.drom.ru/lada/priora/50920677.html;520000;бензин;106;162101
Лада Гранта;2018;https://moscow.drom.ru/lada/granta/50530832.html;527000;бензин;98;123951
Toyota Celica;1995;https://moscow.drom.ru/toyota/celica/48882154.html;530000;бензин;103;335000
Nissan Fuga;2006;https://moscow.drom.ru/nissan/fuga/50525839.html;530000;бензин;210;220651
Opel Astra;2008;https://moscow.drom.ru/opel/astra/50118723.html;530000;бензин;140;218500
Citroen C-Elysee;2014;https://moscow.drom.ru/citroen/c-elysee/50530438.html;534000;бензин;72;254864
Ford Focus;2008;https://moscow.drom.ru/ford/focus/50908364.html;540000;бензин;145;228796
Volkswagen Passat;2008;https://moscow.drom.ru/volkswagen/passat/50923140.html;545000;бензин;160;254377
Audi A4;2003;https://moscow.drom.ru/audi/a4/50919059.html;549000;бензин;170;225094
Mercedes-Benz S-Class;1983;https://moscow.drom.ru/mercedes-benz/s-class/50526240.html;550000;бензин;231;239000
Toyota Mark II;1995;https://serpuhov.drom.ru/toyota/mark_ii/50917764.html;550000;бензин;135;555555
Nissan Tiida;2010;https://moscow.drom.ru/nissan/tiida/50906898.html;550000;бензин;110;162246
Honda Accord;2004;https://moscow.drom.ru/honda/accord/50898833.html;555000;бензин;190;380000
Chevrolet Epica;2010;https://moscow.drom.ru/chevrolet/epica/50914097.html;555000;бензин;143;199911
Mitsubishi Lancer;2007;https://moscow.drom.ru/mitsubishi/lancer/50917576.html;565000;бензин;98;156300
Opel Astra Family;2011;https://moscow.drom.ru/opel/astra_family/50905452.html;565000;бензин;115;130014
Лада Гранта;2018;https://moscow.drom.ru/lada/granta/50900797.html;565000;бензин;87;64000
Chrysler Sebring;2007;https://moscow.drom.ru/chrysler/sebring/49430526.html;575000;бензин;186;252477
Renault Logan;2012;https://moscow.drom.ru/renault/logan/50913332.html;575000;бензин;84;96547
Kia Cerato;2009;https://moscow.drom.ru/kia/cerato/50914103.html;578000;бензин;126;391307
Ford Focus;2010;https://moscow.drom.ru/ford/focus/50160754.html;579000;бензин;145;157324
Kia Rio;2016;https://moscow.drom.ru/kia/rio/50909309.html;580000;бензин;107;340000
Chevrolet Epica;2010;https://moscow.drom.ru/chevrolet/epica/50899655.html;584000;бензин;143;219221
Chevrolet Cruze;2011;https://mytishchi.drom.ru/chevrolet/cruze/50535962.html;590000;бензин;141;152000
BMW 5-Series;1999;https://moscow.drom.ru/bmw/5-series/50909588.html;600000;бензин;150;340000
